country,gas,year,emission,population,per_capital,emission_per_capital,emission_per_pop,change_in_emission
United States of America,SF6E,2003,16632745.328555536,290107933,39354.3920984871,422.6401283732432,0.05733295589871214,0.8437660022925999
United States of America,SF6E,2004,15714020.29389853,292805298,41562.4558754692,378.08209266991815,0.05366713102950251,-5.523592266393413
United States of America,SF6E,2005,15494518.546195187,295516599,43926.2893033539,352.7390724764028,0.05243197369835454,-1.3968528969545253
United States of America,SF6E,2006,14646056.01618974,298379912,46089.8756082247,317.77165424972776,0.04908526153124457,-5.475888311571932
United States of America,SF6E,2007,13419036.899367366,301231207,47810.2183162712,280.67298941407427,0.04454729983991123,-8.377812535101786
United States of America,SF6E,2008,12634363.175506074,304093966,48315.6948867745,261.49604605944495,0.041547562885565686,-5.84746677236043
United States of America,SF6E,2009,10502594.01500754,306771529,46928.6943700592,223.79898175279857,0.03423588247984884,-16.872786787001196
United States of America,SF6E,2010,9601037.72903141,309046865.5,48360.5386408753,198.53041340851445,0.031066607692325585,-8.584129641571062
United States of America,SF6E,2011,9619155.388605375,311591917,49700.2025713238,193.54358515543493,0.030871004232774675,0.18870522213636332
United States of America,SF6E,2012,8286698.769318545,313914040,51330.8138070266,161.4371204102007,0.02639798707097824,-13.852116588793507
United States of America,SF6E,2013,7926561.953745235,316128839,52737.9639780759,150.3008716271346,0.025073833753412274,-4.3459624344825345
United States of America,SF6E,2014,7842115.907318415,318857056,54499.490618946,143.89337988770507,0.024594456229685615,-1.0653552816416147
United States of America,SF6E,2015,7107658.93756461,321418820,56086.2195734954,126.7273671075429,0.022113387565683335,-9.365545962772574
United States of America,SF6E,2016,7572858.16552308,323127513,57134.8512799103,132.5435875980978,0.023436129270499723,6.5450415114863105
United States of America,SF6E,2017,7228915.48293019,325719178,59059.5964026709,122.40035359610536,0.022193705410033272,-4.541781650668655
United States of America,SF6E,2018,7100529.41752953,327167434,61820.4844723372,114.85722698771153,0.021703044617605582,-1.7760072821963557
United States of America,SF6E,2019,7755365.148287735,328239523,63953.6882052029,121.26533067809532,0.02362715214001738,9.222350788964699
United States of America,SF6E,2020,7508186.31008897,331480396.5,62690.8032098624,119.7653551343843,0.022650468592911102,-3.187197939394749
United States of America,SF6E,2021,8018577.5322155105,332031554,69184.7044001711,115.90101600832567,0.024150046691693378,6.79779644573701
Australia,GHG,1990,425624307.0171056,17065128,19017.8713211786,22380.228566544334,24.941172841897558,NA
Australia,GHG,1991,425686444.956654,17067288,19091.2737870316,22297.435451678244,24.94165710197508,0.014599245983837935
Australia,GHG,1992,429473084.67973065,17494664,18682.7711889939,22987.654258311268,24.548804405716545,0.8895373033224537
Australia,GHG,1993,430381730.65699667,17667093,17996.6636053341,23914.528831301497,24.360642164333242,0.21157227534843417
Australia,GHG,1994,430848497.95610607,17854738,20358.9686845054,21162.589551209043,24.130765624010056,0.10845425487667855
Australia,GHG,1995,439269877.8627952,18071758,21778.5663840331,20169.825236285742,24.30698097345013,1.9546035199470648
Australia,GHG,1996,445847225.28878236,18101568.5,23918.1009539795,18640.577951678984,24.6303089861402,1.49733632043889
Australia,GHG,1997,457864510.41859114,18517564,23753.5047397354,19275.661231273592,24.725958037385002,2.695381836687443
Australia,GHG,1998,472145831.8040557,18711271,20985.2798915675,22498.905625451185,25.2332314466535,3.1191151662766368
Australia,GHG,1999,478136874.72701603,18925855,22723.0591553695,21041.923600943996,25.263686883737407,1.2688967093215116
